ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
1;37; $18.929.874 ;0; $4.325.121 ;9;4;empleado;8,7%;FALSO
2;21; $3.558.248 ;1; $2.710.957 ;6;4;desempleado;1,0%;FALSO
3;21; $17.495.860 ;0; $1.632.574 ;9;2;autónomo;7,2%;FALSO
4;29; $20.950.997 ;1; $4.544.532 ;4;5;autónomo;13,5%;VERDADERO
5;58; $11.443.766 ;0; $4.088.312 ;5;2;empleado;9,6%;FALSO
6;25; $3.334.071 ;1; $3.679.921 ;6;11;desempleado;6,2%;FALSO
7;45; $6.955.410 ;0; $1.800.292 ;14;6;empleado;13,1%;FALSO
8;46; $2.517.471 ;1; $4.506.657 ;6;11;desempleado;11,0%;FALSO
9;60; $12.314.101 ;1; $1.810.745 ;9;9;empleado;8,6%;VERDADERO
10;33; $7.769.416 ;0; $3.082.120 ;4;4;empleado;1,1%;FALSO
11;33; $4.428.489 ;1; $4.640.926 ;5;5;desempleado;4,6%;FALSO
12;22; $13.759.890 ;1; $4.432.568 ;9;10;empleado;9,7%;VERDADERO
13;27; $10.384.429 ;1; $2.826.463 ;9;6;empleado;1,5%;VERDADERO
14;28; $8.697.426 ;0; $4.790.245 ;14;11;empleado;8,1%;FALSO
15;42; $6.168.879 ;1; $2.383.057 ;8;12;empleado;3,6%;VERDADERO
16;36; $10.455.180 ;1; $4.675.962 ;4;8;autónomo;5,3%;VERDADERO
17;28; $9.681.222 ;0; $3.494.762 ;3;3;empleado;5,4%;FALSO
18;47; $3.878.784 ;1; $2.091.318 ;8;9;desempleado;7,3%;FALSO
19;34; $14.263.344 ;1; $2.372.473 ;5;9;empleado;5,0%;VERDADERO
20;38; $18.476.460 ;1; $4.886.030 ;1;1;empleado;11,2%;VERDADERO
21;32; $7.170.722 ;0; $4.537.482 ;2;9;empleado;9,4%;FALSO
22;30; $3.561.374 ;0; $4.538.239 ;2;2;desempleado;6,0%;FALSO
23;42; $2.541.362 ;0; $4.951.027 ;5;7;desempleado;2,0%;FALSO
24;27; $20.385.030 ;1; $1.306.286 ;2;10;autónomo;9,2%;VERDADERO
25;28; $4.718.596 ;1; $1.176.540 ;12;12;desempleado;13,5%;FALSO
26;44; $13.871.291 ;1; $1.645.063 ;2;12;empleado;7,7%;VERDADERO
27;39; $17.330.716 ;0; $3.796.501 ;10;12;empleado;4,1%;FALSO
28;38; $3.657.816 ;0; $4.575.035 ;8;2;desempleado;10,1%;FALSO
29;54; $11.007.870 ;0; $3.284.142 ;14;2;empleado;8,6%;FALSO
30;25; $4.255.067 ;0; $2.541.500 ;6;8;desempleado;6,5%;FALSO
31;44; $4.784.982 ;1; $3.505.595 ;4;6;desempleado;1,1%;FALSO
32;22; $6.144.592 ;1; $2.304.154 ;6;12;empleado;5,0%;VERDADERO
33;48; $7.178.549 ;0; $3.736.220 ;14;10;autónomo;2,2%;FALSO
34;43; $3.904.234 ;1; $1.595.180 ;2;3;desempleado;9,5%;FALSO
35;51; $16.495.451 ;1; $2.985.765 ;13;6;empleado;10,2%;VERDADERO
36;48; $12.033.104 ;0; $1.888.135 ;13;4;autónomo;5,0%;FALSO
37;45; $6.087.445 ;0; $2.517.569 ;6;6;autónomo;1,5%;FALSO
38;56; $11.603.458 ;0; $3.123.441 ;15;8;empleado;1,6%;FALSO
39;28; $10.388.974 ;1; $2.431.444 ;6;6;empleado;3,0%;VERDADERO
40;41; $16.726.670 ;0; $2.184.798 ;15;3;empleado;7,6%;FALSO
41;49; $4.326.379 ;0; $4.364.880 ;8;4;desempleado;2,9%;FALSO
42;44; $15.631.116 ;1; $4.078.817 ;15;1;empleado;9,9%;VERDADERO
43;45; $2.993.156 ;1; $4.041.953 ;3;5;desempleado;7,1%;FALSO
44;32; $14.626.246 ;0; $4.484.676 ;9;7;autónomo;0,8%;FALSO
45;57; $3.747.316 ;0; $3.657.043 ;15;7;desempleado;12,1%;FALSO
46;22; $7.132.470 ;1; $3.062.025 ;6;9;empleado;7,3%;VERDADERO
