ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
1;37;18929874;0;4325121;9;4;1;8,7;0
2;21;3558248;1;2710957;6;4;2;1;0
3;21;17495860;0;1632574;9;2;3;7,2;0
4;29;20950997;1;4544532;4;5;3;13,5;1
5;58;11443766;0;4088312;5;2;1;9,6;0
6;25;3334071;1;3679921;6;11;2;6,2;0
7;45;6955410;0;1800292;14;6;1;13,1;0
8;46;2517471;1;4506657;6;11;2;11;0
9;60;12314101;1;1810745;9;9;1;8,6;1
10;33;7769416;0;3082120;4;4;1;1,1;0
11;33;4428489;1;4640926;5;5;2;4,6;0
12;22;13759890;1;4432568;9;10;1;9,7;1
13;27;10384429;1;2826463;9;6;1;1,5;1
14;28;8697426;0;4790245;14;11;1;8,1;0
15;42;6168879;1;2383057;8;12;1;3,6;1
16;36;10455180;1;4675962;4;8;3;5,3;1
17;28;9681222;0;3494762;3;3;1;5,4;0
18;47;3878784;1;2091318;8;9;2;7,3;0
19;34;14263344;1;2372473;5;9;1;5;1
20;38;18476460;1;4886030;1;1;1;11,2;1
21;32;7170722;0;4537482;2;9;1;9,4;0
22;30;3561374;0;4538239;2;2;2;6;0
23;42;2541362;0;4951027;5;7;2;2;0
24;27;20385030;1;1306286;2;10;3;9,2;1
25;28;4718596;1;1176540;12;12;2;13,5;0
26;44;13871291;1;1645063;2;12;1;7,7;1
27;39;17330716;0;3796501;10;12;1;4,1;0
28;38;3657816;0;4575035;8;2;2;10,1;0
29;54;11007870;0;3284142;14;2;1;8,6;0
30;25;4255067;0;2541500;6;8;2;6,5;0
31;44;4784982;1;3505595;4;6;2;1,1;0
32;22;6144592;1;2304154;6;12;1;5;1
33;48;7178549;0;3736220;14;10;3;2,2;0
34;43;3904234;1;1595180;2;3;2;9,5;0
35;51;16495451;1;2985765;13;6;1;10,2;1
36;48;12033104;0;1888135;13;4;3;5;0
37;45;6087445;0;2517569;6;6;3;1,5;0
38;56;11603458;0;3123441;15;8;1;1,6;0
39;28;10388974;1;2431444;6;6;1;3;1
40;41;16726670;0;2184798;15;3;1;7,6;0
41;49;4326379;0;4364880;8;4;2;2,9;0
42;44;15631116;1;4078817;15;1;1;9,9;1
43;45;2993156;1;4041953;3;5;2;7,1;0
44;32;14626246;0;4484676;9;7;3;0,8;0
45;57;3747316;0;3657043;15;7;2;12,1;0
46;22;7132470;1;3062025;6;9;1;7,3;1
47;39;12816033;1;2324557;7;1;1;4,2;1
48;45;3926353;0;1188464;8;5;2;12,6;0
49;25;12591502;0;3832857;9;4;1;12,9;0
50;54;2589740;0;4415231;11;9;2;13,4;0
51;34;11155798;1;4572716;11;3;3;5,7;1
52;29;7300892;0;2256915;2;2;3;7;0
53;34;3813340;0;1622419;8;11;2;3,9;0
54;51;12052007;1;1225457;13;8;3;3,8;1
55;51;11102537;0;3091929;5;2;1;5,4;0
56;40;2725948;1;1514858;3;12;2;2,2;0
57;50;8574118;1;4469324;1;6;1;11,8;1
58;32;2834256;1;2829263;15;12;2;4,8;0
59;24;3495781;0;2781045;9;6;2;1,2;0
60;28;4235055;1;3265217;9;12;2;2,6;0
61;52;17750658;0;4528867;6;10;1;13,4;0
62;36;20594023;0;2825347;14;1;3;13,3;0
63;25;2798081;0;4627642;13;11;2;13,3;0
64;27;10705985;1;1541937;5;9;1;4,6;1
65;42;20091494;1;3629468;15;9;1;4,4;1
66;53;9067873;0;3145715;7;1;1;10,9;0
67;47;2671036;1;2682844;12;7;2;3,6;0
68;49;20143044;0;4358137;7;1;3;7,7;0
69;36;6311134;1;4762479;6;11;3;7,4;1
70;48;19425888;0;4544767;1;8;3;4,5;0
71;57;16606571;1;4456756;6;11;3;6,1;1
72;54;4047717;0;4976651;5;2;2;7,3;0
73;53;4730998;0;1836521;2;2;2;6,8;0
74;41;14542799;0;3032532;4;12;1;5,7;0
75;40;9082257;0;1544504;2;7;3;2,2;0
76;51;11765146;1;1877429;6;1;3;2,6;1
77;51;9265557;0;3598564;14;5;1;3,1;0
78;46;18739470;0;4492754;5;11;1;8,1;0
79;58;3109727;1;3790945;15;11;2;6,1;0
80;48;20632630;0;3816203;15;1;1;1,4;0
81;40;19900183;0;3797094;5;7;1;12,9;0
82;26;4112027;0;2943955;10;6;2;1,6;0
83;43;6922280;1;3380290;14;10;1;10,2;1
84;26;8082442;0;2300822;3;2;1;4,2;0
85;24;3838571;1;4050910;9;9;2;13,3;0
86;56;12498153;1;2718517;7;10;3;9,2;1
87;53;19306495;0;4813561;5;11;1;3,8;0
88;57;15289193;0;1071826;4;1;3;4,6;0
89;39;6518347;0;3586434;8;6;1;4,4;0
90;34;13809265;0;2000726;15;12;1;12,3;0
91;36;9802828;0;2021671;15;4;1;12,4;0
92;37;11301704;1;4200059;12;1;3;13;1
93;50;17612577;0;4101069;7;3;3;2,6;0
94;44;4634100;0;3817322;8;11;2;4,3;0
95;52;14458213;0;1233128;5;12;1;8,3;0
96;44;4022690;1;2591706;12;8;2;2,9;0
97;50;16941789;0;2999916;4;11;1;2,6;0
98;25;20504198;1;4149101;7;4;1;0,9;1
99;58;19779000;1;1702141;10;1;3;2,2;1
100;40;13164300;1;4897060;4;10;3;11;1
101;41;3768080;1;3776959;1;11;2;2,5;0
102;39;14294734;1;4840584;12;2;1;8,8;1
103;34;20129334;1;1955674;12;10;3;9,1;1
104;43;12185439;0;1377696;11;5;1;13,3;0
105;32;4385966;1;2227409;3;10;2;1,4;0
106;35;3519222;1;1044428;7;3;2;6,3;0
107;60;10475283;1;1837297;14;11;1;3,9;1
108;21;8162885;1;2983536;1;2;3;1,4;1
109;48;2579712;0;4728557;5;12;2;7,6;0
110;58;15795234;1;4378545;10;2;3;6,9;1
111;42;3118011;0;938284;10;4;2;4,9;0
112;38;2408554;1;4454956;5;3;2;1,3;0
113;52;3866472;1;4074663;15;7;2;10,7;0
114;33;15103486;0;2162770;2;12;1;9,6;0
115;24;11855232;0;4591944;9;5;1;3,1;0
116;48;14918105;0;1870413;1;5;3;4,4;0
117;48;4203931;0;2192538;11;5;2;9,7;0
118;52;11168155;1;1774810;12;4;3;6,3;1
119;32;18122437;0;4368626;6;10;3;4,1;0
120;54;3613640;1;4736236;3;3;2;4,3;0
121;26;14956118;0;1055836;7;7;3;7,4;0
122;58;19621203;0;2727650;2;6;1;5,9;0
123;38;8286656;1;1602887;7;4;3;5,9;1
124;47;18516655;0;3816141;11;3;3;12,9;0
